Зеркала и предметы декора,Зеркало в раме из карагача,https://drevodesign.ru/upload/resize_cache/iblock/e81/244_244_0/jy96mcj95ff611tpikja079n8l2htc9y.png,0747,https://drevodesign.ru/product/zerkala-i-predmety-dekora/zerkalo-v-rame-iz-karagacha/,19 000 руб.,"Красивое зеркало в раме из каповых слэбов карагача. Возможно использовать зеркало горизонтально или вертикально любой стороной, петли с обратной стороны на всех 4 углах.",Да
Зеркала и предметы декора,Зеркало в раме из массива карагача,https://drevodesign.ru/upload/resize_cache/iblock/391/244_244_0/wwhvuib4k6cs2nkfknrfe7xxd0gowfce.png,0742,https://drevodesign.ru/product/zerkala-i-predmety-dekora/zerkalo-v-rame-iz-massiva-karagacha/,30 000 руб.,Большое круглое зеркало в раме из массива карагача. Ширина рамы 77 мм. Вставка из эпоксидной смолы.,Да
Зеркала и предметы декора,Часы с эпоксидной смолой,https://drevodesign.ru/upload/resize_cache/iblock/7a2/244_244_0/wjk84hksdu1gvrgv3f1erndvzl1mm606.png,0760,https://drevodesign.ru/product/zerkala-i-predmety-dekora/chasy-s-epoksidnoy-smoloy/,4 200 руб.,Декоративные часы из массива карагача с эпоксидной смолой. Изделие оснащено часовым механизмом плавного хода. Возможно изготовление под заказ в различной цветовой гамме.,Да
Зеркала и предметы декора,"Часы ""Галактика""",https://drevodesign.ru/upload/resize_cache/iblock/861/244_244_0/9724wriy91w1p77nuwtphedb3at1svxd.jpeg,0766,https://drevodesign.ru/product/zerkala-i-predmety-dekora/chasy-galaktika/,4 200 руб.,Часы изготовлены из МДФ в сочетании с черной глянцевой покраской. Диаметр изделия 45 см.,Да
Зеркала и предметы декора,Панно из массива тополя с эпоксидной смолой,https://drevodesign.ru/upload/resize_cache/iblock/aac/244_244_0/xrzcxuugh2ywwgtik6ihpz7ynag5ux40.jpg,0765,https://drevodesign.ru/product/zerkala-i-predmety-dekora/panno-iz-massiva-topolya-s-epoksidnoy-smoloy/,13 000 руб.,"Декоративное настенное пано выполнено из массива капового тополя в сочетании с эпоксидной смолой синего цвета. Рамка изделия изготовлена из термодревесины. Пано украсит собой вашу зону отдыха, а уникальные древесные линии изделия дадут ощущение сближения с природой. Возможно изготовление под заказ по индивидуальным размерам, цвет эпоксидной смолы может быть различным.",Да
Зеркала и предметы декора,Часы из массива в металлической рамке,https://drevodesign.ru/upload/resize_cache/iblock/ef5/244_244_0/xh9jlg1vel8vlkq020kjmm83wn823ryz.png,0769,https://drevodesign.ru/product/zerkala-i-predmety-dekora/chasy-iz-massiva-v-metallicheskoy-ramke/,5 500 - 6 500 руб.,"Оригинальная модель настенных часов из может быть выполнена из заготовки массива горного вяза либо ореха. По периметру часов, по мимо круглой рамки, из металлического профиля может быть легкий круг из металлической полосы. Наличие моделей уточняйте у наших менеджеров. Возможно изготовление под заказ по вашим индивидуальным пожеланиям.",Да
Зеркала и предметы декора,Часы из массива в сочетании с эпоксидной смолой,https://drevodesign.ru/upload/resize_cache/iblock/4d6/244_244_0/kxbe7ijmwikifgt2vpsoj3ddoajzo0gm.png,0768,https://drevodesign.ru/product/zerkala-i-predmety-dekora/chasy-iz-massiva-v-sochetanii-s-epoksidnoy-smoloy/,9 500 руб.,Данное изделие выполнено из эксклюзивной заготовки капового тополя в сочетании с эпоксидной смолой янтарного оттенка. Часы оснащены механизмом плавного хода.,Да
Зеркала и предметы декора,Авторские часы из массива тополя с эпоксидной смолой,https://drevodesign.ru/upload/resize_cache/iblock/4a6/244_244_0/kcp3mvlq9qjfzi9btocey3a3mxa97kpi.png,0767,https://drevodesign.ru/product/zerkala-i-predmety-dekora/avtorskie-chasy-iz-massiva-topolya-s-epoksidnoy-smoloy/,10 900 руб.,"Изделие выполнено из заготовки капового тополя в сочетании с эпоксидной смолой. Возможно изготовление под заказ в различной цветовой гамме, форма так же может быть различной. Часовой механизм плавного хода.",Да
Зеркала и предметы декора,Эксклюзивные часы из массива в сочетании с эпоксидной смолой,https://drevodesign.ru/upload/resize_cache/iblock/f9d/244_244_0/qhjxu221mnsm5fuqftasdljsnqkwcq3f.png,0771,https://drevodesign.ru/product/zerkala-i-predmety-dekora/eksklyuzivnye-chasy-iz-massiva-v-sochetanii-s-epoksidnoy-smoloy/,6 000 руб.,Эксклюзивные модели настенных часов выполнены из массива горного вяза (карагач) в сочетании с эпоксидной смолой. Данное изделие придаст вашему пространству новых красок и станет настоящей изюменкой вашего пространства. Возможно изготовление под заказ в различной цветовой гамме. Наличие моделей уточняйте у наших менеджеров.,Да
Зеркала и предметы декора,Авторские часы из массива на ваш выбор,https://drevodesign.ru/upload/resize_cache/iblock/d68/244_244_0/3kkab03agwrow8htwuyh5y5hilcc8n3q.png,0770,https://drevodesign.ru/product/zerkala-i-predmety-dekora/avtorskie-chasy-iz-massiva-na-vash-vybor/,5 000 - 6 000 руб.,"Оригинальная модель настенных часов из заготовки массива Американского ореха (Черное дерево) обрамленной рамкой из мдф. Так же возможно изготовление с применением массива Горного вяза (карагач), по примеру модели исполненной в светлых тонах. Часы украсят собой выше пространство и будут притягивать к себе внимание снова и снова. Наличие моделей можете уточнить у наших менеджеров.",Да
